employee_id,full_name,department,designation,email,location,monthly_salary_inr
E022,Rohit Kumar 22,Sales,Account Manager,rohit.kumar22@tcs.com,Pune,91400
E023,Rohit Kumar 23,HR,HR Executive,rohit.kumar23@tcs.com,Chennai,92600
E024,Rohit Kumar 24,Finance,Finance Manager,rohit.kumar24@tcs.com,Noida,93800
E025,Rohit Kumar 25,Engineering,Senior Engineer,rohit.kumar25@tcs.com,Bengaluru,95000
E026,Rohit Kumar 26,Data Science,Data Analyst,rohit.kumar26@tcs.com,Hyderabad,96200
E027,Rohit Kumar 27,Sales,Account Manager,rohit.kumar27@tcs.com,Pune,97400
E028,Rohit Kumar 28,HR,HR Executive,rohit.kumar28@tcs.com,Chennai,98600
E029,Rohit Kumar 29,Finance,Finance Manager,rohit.kumar29@tcs.com,Noida,99800
E030,Rohit Kumar 30,Engineering,Senior Engineer,rohit.kumar30@tcs.com,Bengaluru,101000
E031,Rohit Kumar 31,Data Science,Data Analyst,rohit.kumar31@tcs.com,Hyderabad,102200
E032,Rohit Kumar 32,Sales,Account Manager,rohit.kumar32@tcs.com,Pune,103400
E033,Rohit Kumar 33,HR,HR Executive,rohit.kumar33@tcs.com,Chennai,104600
E034,Rohit Kumar 34,Finance,Finance Manager,rohit.kumar34@tcs.com,Noida,105800
E035,Rohit Kumar 35,Engineering,Senior Engineer,rohit.kumar35@tcs.com,Bengaluru,107000
E036,Rohit Kumar 36,Data Science,Data Analyst,rohit.kumar36@tcs.com,Hyderabad,108200
E037,Rohit Kumar 37,Sales,Account Manager,rohit.kumar37@tcs.com,Pune,109400
E038,Rohit Kumar 38,HR,HR Executive,rohit.kumar38@tcs.com,Chennai,110600
E039,Rohit Kumar 39,Finance,Finance Manager,rohit.kumar39@tcs.com,Noida,111800
E040,Rohit Kumar 40,Engineering,Senior Engineer,rohit.kumar40@tcs.com,Bengaluru,113000
E041,Rohit Kumar 41,Data Science,Data Analyst,rohit.kumar41@tcs.com,Hyderabad,114200
E042,Rohit Kumar 42,Sales,Account Manager,rohit.kumar42@tcs.com,Pune,115400
E043,Rohit Kumar 43,HR,HR Executive,rohit.kumar43@tcs.com,Chennai,116600
E044,Rohit Kumar 44,Finance,Finance Manager,rohit.kumar44@tcs.com,Noida,117800
E045,Rohit Kumar 45,Engineering,Senior Engineer,rohit.kumar45@tcs.com,Bengaluru,119000
E046,Rohit Kumar 46,Data Science,Data Analyst,rohit.kumar46@tcs.com,Hyderabad,120200
E047,Rohit Kumar 47,Sales,Account Manager,rohit.kumar47@tcs.com,Pune,121400
E048,Rohit Kumar 48,HR,HR Executive,rohit.kumar48@tcs.com,Chennai,122600
E049,Rohit Kumar 49,Finance,Finance Manager,rohit.kumar49@tcs.com,Noida,123800
E050,Rohit Kumar 50,Engineering,Senior Engineer,rohit.kumar50@tcs.com,Bengaluru,125000
E051,Rohit Kumar 51,Data Science,Data Analyst,rohit.kumar51@tcs.com,Hyderabad,126200
E052,Rohit Kumar 52,Sales,Account Manager,rohit.kumar52@tcs.com,Pune,127400
E053,Rohit Kumar 53,HR,HR Executive,rohit.kumar53@tcs.com,Chennai,128600
E054,Rohit Kumar 54,Finance,Finance Manager,rohit.kumar54@tcs.com,Noida,129800
E055,Rohit Kumar 55,Engineering,Senior Engineer,rohit.kumar55@tcs.com,Bengaluru,131000
E056,Rohit Kumar 56,Data Science,Data Analyst,rohit.kumar56@tcs.com,Hyderabad,132200
E057,Rohit Kumar 57,Sales,Account Manager,rohit.kumar57@tcs.com,Pune,133400
E058,Rohit Kumar 58,HR,HR Executive,rohit.kumar58@tcs.com,Chennai,134600
E059,Rohit Kumar 59,Finance,Finance Manager,rohit.kumar59@tcs.com,Noida,135800
E060,Rohit Kumar 60,Engineering,Senior Engineer,rohit.kumar60@tcs.com,Bengaluru,137000
